adwaita-icon-theme 50.0-1
libpangoft2-1.0-0 1.57.0-1
libpcre2-8-0 10.46-1build1
libpgm-5.3-0t64 5.3.128~dfsg-2.1build2
libpipewire-0.3-0t64 1.6.2-1ubuntu1.1
libpixman-1-0 0.46.4-1
libplacebo360 7.360.0-3
libpng16-16t64 1.6.57-1
libproc2-0 2:4.0.4-9ubuntu1
libpsl5t64 0.21.2-1.1build2
libpython3-stdlib 3.14.3-0ubuntu2
libpython3.14 3.14.4-1ubuntu0.2
libpython3.14-minimal 3.14.4-1ubuntu0.2
libpython3.14-stdlib 3.14.4-1ubuntu0.2
librabbitmq4 0.15.0-1ubuntu0.26.04.2
librav1e0.8 0.8.1-7
libreadline8t64 8.3-4
librist4 0.2.11+dfsg-1build1
librsvg2-2 2.61.3+dfsg-3
librtmp1 2.4+20151223.gitfa8646d.1-3
librubberband3 4.0.0+dfsg-2ubuntu1
libsamplerate0 0.2.2-4build2
libsasl2-2 2.1.28+dfsg1-9ubuntu3
libsasl2-modules-db 2.1.28+dfsg1-9ubuntu3
libseat1 0.9.2-2
libseccomp2 2.6.0-2ubuntu5
libselinux1 3.9-4build1
libsemanage-common 3.9-1build1
libsemanage2 3.9-1build1
libsensors-config 1:3.6.2-2build1
libsensors5 1:3.6.2-2build1
libsepol2 3.9-2
libserd-0-0 0.32.6-1
libsharpyuv0 1.5.0-0.1build1
libshine3 3.1.1-3build1
libsm6 2:1.2.6-1build1
libsmartcols1 2.41.3-3ubuntu2.2
libsnappy1v5 1.2.2-2
libsndfile1 1.2.2-4
libsodium23 1.0.18-2
libsord-0-0 0.16.20-1
libsoxr0 0.1.3-4.1
libspa-0.2-modules 1.6.2-1ubuntu1.1
libspeex1 1.2.1-3build1
libsqlite3-0 3.46.1-9ubuntu0.2
libsratom-0-0 0.6.20-1
libsrt1.5-gnutls 1.5.4-3
libss2 1.47.2-3ubuntu4
libssh-4 0.11.3-1ubuntu2.1
libssh2-1t64 1.11.1-1ubuntu0.26.04.4
libssl3t64 3.5.5-1ubuntu3.5
libstdc++6 16-20260322-1ubuntu1
libstemmer0d 3.0.1-1
libsvtav1enc2 2.3.0+dfsg-1build1
libswresample6 7:8.0.1-3ubuntu2
libswscale9 7:8.0.1-3ubuntu2
libsystemd0 259.5-0ubuntu3.4
libtasn1-6 4.21.0-2
libthai-data 0.1.30-1
libthai0 0.1.30-1
libtheoradec2 1.2.0+dfsg-6
libtheoraenc2 1.2.0+dfsg-6
libtiff6 4.7.0-3ubuntu5
libtinfo6 6.6+20251231-1
libturbojpeg0 1:2.1.5-4ubuntu4
libtwolame0 0.4.0-2build4
libudev1 259.5-0ubuntu3.4
libudfread3 1.2.0-2
libunibreak6 6.1-3build1
libunistring5 1.3-2build1
libunwind8 1.8.3-0ubuntu1
libuuid1 2.41.3-3ubuntu2.2
libva-drm2 2.23.0-1ubuntu1
libva-x11-2 2.23.0-1ubuntu1
libva2 2.23.0-1ubuntu1
libvdpau1 1.5-4
libvidstab1.1 1.1.0-2.1
libvorbis0a 1.3.7-3build2
libvorbisenc2 1.3.7-3build2
libvorbisfile3 1.3.7-3build2
libvpx12 1.16.0-3
libvulkan1 1.4.341.0-1
libwacom-common 2.18.0-1
libwacom9 2.18.0-1
libwayland-client0 1.24.0-2
libwayland-cursor0 1.24.0-2
libwayland-egl1 1.24.0-2
libwayland-server0 1.24.0-2
libwebp7 1.5.0-0.1build1
libwebpmux3 1.5.0-0.1build1
libwebrtc-audio-processing-1-3 1.3-3build2
libweston-14-0 14.0.2-5
libwinpr3-3 3.31.0+dfsg-0ubuntu0.26.04.1
libx11-6 2:1.8.13-1
libx11-data 2:1.8.13-1
libx11-xcb1 2:1.8.13-1
libx264-165 2:0.165.3222+gitb35605ac-3build1
libx265-215 4.1-4
libxau6 1:1.0.11-1build2
libxaw7 2:1.0.16-1build1
libxcb-composite0 1.17.0-2ubuntu1
libxcb-dri3-0 1.17.0-2ubuntu1
libxcb-glx0 1.17.0-2ubuntu1
libxcb-present0 1.17.0-2ubuntu1
libxcb-randr0 1.17.0-2ubuntu1
libxcb-render0 1.17.0-2ubuntu1
libxcb-shm0 1.17.0-2ubuntu1
libxcb-sync1 1.17.0-2ubuntu1
libxcb-xfixes0 1.17.0-2ubuntu1
libxcb-xkb1 1.17.0-2ubuntu1
libxcb1 1.17.0-2ubuntu1
libxcursor1 1:1.2.3-1build1
libxdamage1 1:1.1.7-1
libxdmcp6 1:1.1.5-2
libxext6 2:1.3.4-1build3
libxfixes3 1:6.0.0-2build2
libxfont2 1:2.0.6-2ubuntu0.2
libxi6 2:1.8.2-2
libxinerama1 2:1.1.4-3build2
libxkbcommon-x11-0 1.13.1-1
libxkbcommon0 1.13.1-1
libxkbfile1 1:1.1.0-1build5
libxml2-16 2.15.2+dfsg-0.1ubuntu0.1
libxmlb2 0.3.24-2
libxmu6 2:1.1.3-4
libxmuu1 2:1.1.3-4
libxpm4 1:3.5.17-1ubuntu0.26.04.1
libxrandr2 2:1.5.4-1build1
libxrender1 1:0.9.12-1build1
libxshmfence1 1.3.3-1build1
libxt6t64 1:1.2.1-1.3build1
libxvidcore4 2:1.3.7-3
libxxf86vm1 1:1.1.4-2
libxxhash0 0.8.3-2build1
libzimg2 3.0.6+ds1-1
libzix-0-0 0.8.0-1
libzmq5 4.3.5-1build3
libzstd1 1.5.7+dfsg-3
libzvbi-common 0.2.44-1ubuntu2
libzvbi0t64 0.2.44-1ubuntu2
login 1:4.16.0-2+really2.41.3-3ubuntu2.2
login.defs 1:4.17.4-2ubuntu3
logsave 1.47.2-3ubuntu4
mawk 1.3.4.20260129-1
media-types 14.0.0build1
mesa-libgallium 26.0.8-1ubuntu0.3
mesa-utils 9.0.0-2build1
mesa-utils-bin 9.0.0-2build1
mount 2.41.3-3ubuntu2.2
ncurses-base 6.6+20251231-1
ncurses-bin 6.6+20251231-1
ncurses-term 6.6+20251231-1
netbase 6.5build1
ocl-icd-libopencl1 2.3.4-1
openssl-provider-legacy 3.5.5-1ubuntu3.5
passwd 1:4.17.4-2ubuntu3
perl-base 5.40.1-7ubuntu0.1
procps 2:4.0.4-9ubuntu1
python3 3.14.3-0ubuntu2
python3-minimal 3.14.3-0ubuntu2
python3.14 3.14.4-1ubuntu0.2
python3.14-minimal 3.14.4-1ubuntu0.2
readline-common 8.3-4
rust-coreutils 0.8.0-0ubuntu3
seatd 0.9.2-2
sed 4.9-2ubuntu1
sensible-utils 0.0.26build1
shared-mime-info 2.4-5build3
strace 6.19+ds-0ubuntu5
sysvinit-utils 3.15-5ubuntu1
tar 1.35+dfsg-4ubuntu0.4
tzdata 2026c-0ubuntu0.26.04.1
ubuntu-keyring 2023.11.28.1build1
util-linux 2.41.3-3ubuntu2.2
weston 14.0.2-5
x11-common 1:7.7+26ubuntu1
x11-xkb-utils 7.7+9build1
xauth 1:1.1.2-1.1build1
xkb-data 2.46-2
xserver-common 2:21.1.22-1ubuntu1
xvfb 2:21.1.22-1ubuntu1
zlib1g 1:1.3.dfsg+really1.3.1-1ubuntu3.1
